,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,wr,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side,T-1,T-2,T-12,Autocor_1_lag,Autocor_2_lag,Autocor_4_lag,Autocor_6_lag,T-1_1per_rtn,T-2_1per_rtn,T-12_1per_rtn,T-1_rtn,T-2_rtn,T-12_rtn,ir_d1,Friday,Monday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,EOM,senkou_span_a_frdif,fast_frdif,senkou_span_b_frdif,slow_frdif,upper_band_frdif,price_frdif,tenka_sen_frdif,kijun_sen_frdif,average_frdif,lower_band_frdif,volatility,ret,bin
2015-08-12 01:00:00,90.894,91.29354566175093,91.47349406688113,-1.0,91.6878250000002,92.6196227395921,90.7560272604083,0.4658988697959524,1.0,0.0,15.783700778764233,1.0,-123.65236523653947,100.0,-1.0,91.244,91.75025000000001,91.341875,91.0375,91.6365,1.0,33.157915215437455,0.0,91.51350000000001,91.38,92.39099999999999,0.6369258692141611,0.4334111936930173,0.2792113889709697,0.41059083798772095,0.001459866246856123,0.0015990015125657564,-0.00032465424608218996,-0.006792509977740243,-0.0053326437308837925,-0.01633557890205312,2.05371,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.599511914188923,4.380708356297028,4.508393534687784,4.478191748811426,4.7676838333980385,3.996045099635346,4.303045497780545,4.604013636596285,4.580758123019741,4.393832412641473,0.007185245827758223,0.008350386164103218,1.0
2015-08-12 15:00:00,91.5235,91.26839862974033,91.32281953992653,-1.0,91.43882500000021,92.42303185199285,90.45461814800757,0.49210342599631873,1.0,44.64605162279532,36.314847942754305,1.0,11.401334026740418,7.468220338982673,1.0,91.08675,91.62825000000001,91.7985,91.1185,91.9725,0.0,57.76444216199279,0.0,91.28450000000001,91.27349999999998,91.4435,0.6680786766875255,0.36398049440107577,0.2749077508156093,0.43275036807010925,0.00012050964639609418,0.0005150685045371972,-0.0016444721318444877,0.0026147667079157197,0.0027352763543111256,0.000874474687763758,2.05371,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.794095442398998,4.551895705169478,4.536684677448868,4.511195310320943,4.613687579947118,4.792947652860661,4.401023116212848,4.6075509231814635,4.497861955110295,4.3820363302734435,0.006930064835374066,0.0031740481952722277,0.0
2015-08-18 11:00:00,91.1515,91.46818691937663,91.55903768820873,-1.0,91.63290000000019,91.97508439474771,91.29071560525267,0.17109219737375764,1.0,0.0,2.4134312696741866,1.0,-159.06687813919677,100.0,-1.0,91.488,91.50525,91.3575,91.62825000000001,91.5235,-1.0,26.710776935549674,1.0,91.32050000000001,91.3825,91.702,0.6457915917756829,0.27824954647368194,-0.4956989906933413,-0.0649126957291191,-0.0006786971465162495,-0.004825152505710584,-9.268724875521883e-05,-0.001852339518635169,-0.002531036665150675,-0.0060212318955648195,2.04571,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.504287019697159,4.474618453232161,4.704544178584719,4.561275935480495,4.600758418029876,4.266229197495242,4.506472432876912,4.5900100981721295,4.635971559017477,4.6711847000051065,0.005806419045312398,-0.009621344684399125,-1.0
2015-08-20 07:00:00,90.27449999999999,90.90210081599679,91.08811529598646,-1.0,91.2332250000002,91.9045872327106,90.56186276728981,0.3356811163551958,1.0,0.0,19.50008560178006,1.0,-197.7399819012544,100.0,-1.0,90.8245,91.0495,91.41625,91.62825000000001,91.702,-1.0,22.652822518081365,1.0,91.11949999999999,91.152,91.28999999999999,0.6658270139915032,0.49884690698997386,0.2557307601883268,0.4683143005374092,-0.00035661088370275706,0.001888740596181826,0.0009479790401067945,-0.009316803338111615,-0.009673414221814655,-0.011186224060764215,2.04571,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.554349740677779,4.251429939568673,4.653409854520163,4.364180025141636,4.568828080049869,3.6471252927208155,4.170734042151501,4.260005384931894,4.429772740035716,4.290717400021563,0.005542808991774384,-0.009786816875197335,-1.0
2015-08-21 01:00:00,89.86349999999999,90.4453313589224,90.69600516877297,-1.0,90.88455000000019,91.67909867063715,90.09000132936323,0.39727433531847883,1.0,0.0,15.015151515151926,1.0,-163.5276029404255,100.0,-1.0,90.49149999999999,90.844,91.53562500000001,91.62825000000001,91.814,-1.0,20.846819577789688,1.0,90.51050000000001,90.53399999999999,90.851,0.7329980783107768,0.6073176670690776,0.5018973276986212,0.7320326714050616,-0.00025960468428465333,-0.0017602189643683985,-0.0014848465912180586,-0.00717401371481808,-0.007433618399102494,-0.010928949575785675,2.03786,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.652017705986793,4.102731797859242,4.646008719706671,4.226734012740771,4.5156254097403945,3.6206934733749065,4.124616108022046,4.254584919587366,4.317739370219904,4.119853330699371,0.005778255142353208,-0.00971473401325329,-1.0
2015-08-21 15:00:00,89.39099999999999,89.86386548962177,90.16799938450185,-1.0,90.39987500000021,91.40422020336031,89.3955297966401,0.5021726016800532,1.0,0.0,3.7469788123457,1.0,-116.45103530466068,100.0,-1.0,89.95075,90.38274999999999,91.496625,91.62825000000001,91.28999999999999,-1.0,22.53709624155357,1.0,89.8015,89.93,90.61449999999999,0.8222589735059446,0.7250463946157314,0.5689631724236509,0.7580886519495199,-0.001429910971586068,-0.002049494037101418,0.0004636094284062864,-0.004581672983989481,-0.0060115839555748085,-0.013594238422495918,2.04071,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.586360772124976,3.9487409015253476,4.641806535465371,4.064693798570545,4.364047150257321,3.6283752392668376,3.9610520380516263,4.113414531862233,4.14643341267081,3.928819675084341,0.00629877779188786,-0.012747368303296702,-1.0
2015-08-23 23:00:00,88.2515,89.24106825343416,89.73246443141433,-1.0,90.08862500000018,91.47043196463504,88.70681803536532,0.6909034823174308,1.0,0.0,1.4196479273139595,1.0,-171.9849535106705,100.0,-1.0,89.18299999999999,89.81299999999999,91.488,91.62825000000001,91.3735,-1.0,12.835661482596151,1.0,88.9905,89.466,90.53399999999999,0.8768797062925788,0.7701078819909157,0.6530815485130403,0.6583502680749118,-0.00532904237500631,0.0008386588659758942,-0.0017602189643683985,-0.00833892962572434,-0.013667972000730602,-0.025534777923474507,2.04071,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.591143078548498,3.586941106541083,4.640617961696556,3.8360201806648604,4.48810792282454,2.9133673139284397,3.516647603051993,3.7484199092276356,4.005045247757749,3.521982572690945,0.006470920678328643,-0.01154088032498024,-1.0
2015-08-24 01:00:00,87.233,88.73905119007561,89.42003137748755,-1.0,89.89267500000018,91.67047432149684,88.11487567850352,0.8888996607483314,1.0,0.0,0.0,1.0,-212.06326995072405,100.0,-1.0,88.67375,89.26125,91.3775,91.62825000000001,91.3745,-1.0,8.39839328361505,1.0,88.2515,88.9905,90.51050000000001,0.9152181071947196,0.8557329369341811,0.7318952129216125,0.590340626610075,-0.008338929625724134,-0.00532904237500631,-0.00025960468428465333,-0.011607993144682681,-0.0199469227704069,-0.03688316638387273,2.02071,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.482685008813405,3.2490734652411604,4.640283357418291,3.6359514757494296,4.665618925637297,2.235470541341421,3.192031730503139,3.3648304990547544,3.888505473523537,3.1113920214097917,0.00709240595522271,-0.008116194559398382,-1.0
2015-08-24 09:00:00,86.76050000000001,87.69933455623486,88.52953511653996,-1.0,89.22557500000019,91.73014347131738,86.721006528683,1.2522842356585904,1.0,0.0,4.633241824398875,1.0,-141.85410332158804,100.0,-1.0,88.11325,88.95625000000001,91.22525,91.25450000000001,91.102,-1.0,12.783081257260918,1.0,87.42099999999999,87.526,90.0825,0.9596390382223983,0.9114203694138163,0.8330457725611456,0.8002903600755741,-0.0012003636828028519,-6.283649659977186e-05,0.0033414073326341054,-0.0075840794332106345,-0.008784443116013412,-0.03757446814811519,2.02071,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.461000841204076,3.006914036742238,4.396261374016639,3.342329640412359,4.591122996522664,2.5549250512749637,3.1850102905490374,3.574509187962029,3.6459474633621483,2.700771930201647,0.008806344474276327,-0.015444816477544587,-1.0
2015-08-24 13:00:00,85.4205,86.9094381878821,87.92165969860092,-1.0,88.75457500000019,91.73626070233662,85.77288929766375,1.490842851168219,1.0,0.0,0.0,1.0,-157.17936796126835,100.0,-1.0,87.2055,88.27,91.22525,91.25450000000001,91.152,-1.0,7.668406632113289,1.0,86.525,86.76050000000001,89.93,0.9653391909368315,0.9302034025167482,0.8796989697305293,0.8411350893734191,-0.0027180594450948448,-0.007584079433210711,-0.002049494037101418,-0.012847270695108721,-0.015565330140203547,-0.05144547110012489,2.02214,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4891274950734825,2.615004959518444,4.461748776091618,3.0617290060784157,4.597022794990757,1.7288647812156057,2.600972358621867,3.110637669275931,3.4284030831699823,2.2597833713492363,0.010937985144136696,0.013193554240492622,1.0
