,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,wr,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side,T-1,T-2,T-12,Autocor_1_lag,Autocor_2_lag,Autocor_4_lag,Autocor_6_lag,T-1_1per_rtn,T-2_1per_rtn,T-12_1per_rtn,T-1_rtn,T-2_rtn,T-12_rtn,ir_d1,Friday,Monday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September,EOM,senkou_span_a_frdif,fast_frdif,senkou_span_b_frdif,slow_frdif,upper_band_frdif,price_frdif,tenka_sen_frdif,kijun_sen_frdif,average_frdif,lower_band_frdif,volatility,ret,bin
2015-08-26 09:00:00,1.14214,1.1473514358730108,1.1481160962123285,-1.0,1.1511405000000017,1.1629725648662321,1.1393084351337712,0.005916032433115268,-1.0,4.418548191307393,25.078902646272827,-1.0,-73.46170052350544,94.14979106396812,-1.0,1.1473025,1.1515275,1.12665125,1.1203925,1.13856,1.0,34.262505820136056,0.0,1.147345,1.1497,1.1555499999999999,0.7510784869810375,0.5002341950801029,0.08373156383902146,-0.11584201978533701,-0.0020504612013361456,0.00032187488044474466,-0.0010681844260713724,-0.004546881912223177,-0.006597343113559365,-0.011672725443244667,-0.35486,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06441779251547564,0.06402416768959779,0.062105245274591714,0.0656186242059329,0.06784665588522631,0.059043002731785754,0.06522893088784609,0.0698061103623358,0.06739101776944267,0.06693537965365892,0.008877837596529057,-0.009451555851296645,-1.0
2015-08-26 17:00:00,1.13476,1.1406366457254447,1.1438471928725098,-1.0,1.1471412500000018,1.1602157740352645,1.134066725964739,0.0065372620176313715,-1.0,0.0,4.902370990236847,1.0,-125.46328314803257,100.0,-1.0,1.1436125,1.1482925,1.13285375,1.1247224999999998,1.147145,1.0,27.940372919196818,1.0,1.13848,1.140885,1.142315,0.8230155845893723,0.5917917632082002,-0.13459006630010495,-0.3887642777511104,-0.0021102376253701594,0.0025978485829954434,0.0009502769436541825,-0.0032728645638899125,-0.0053831021892600224,-0.006635730243728987,-0.35377,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06630420318916774,0.060226839289708844,0.06308704243909358,0.0627107569567259,0.06505162535205422,0.056572724243499684,0.06233652789728322,0.06554568002322586,0.064162565384137,0.0632735054162199,0.008956419522588348,-0.009164933554231869,-1.0
2015-08-27 07:00:00,1.12831,1.1338446581164872,1.1380893480105063,-1.0,1.1415735000000016,1.1561486614398835,1.1269983385601197,0.007287580719940956,1.0,0.0,7.813570989277139,1.0,-119.71950964960857,100.0,-1.0,1.1345975,1.1450675,1.14495625,1.1310975,1.15997,1.0,25.91104874175521,1.0,1.1329799999999999,1.135145,1.14933,0.8781369531152138,0.7365247842695553,0.5477214584886189,0.126135039490421,-0.0019090664381680306,0.001573723988614023,-0.002723962766855992,-0.0041303916253412195,-0.006039458063509296,-0.018458225883049486,-0.35377,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07174271400062238,0.057792199511060405,0.06571923198700586,0.06003287763109311,0.06348202101870937,0.05419882065997472,0.05748081825088347,0.06348521402741503,0.06146565533763171,0.05944928965655394,0.010016048992834956,-0.000678005158156858,0.0
2015-08-27 13:00:00,1.12153,1.128255012017893,1.1336129714211007,-1.0,1.1387530000000015,1.1573756959379853,1.1201303040620176,0.009311347968991872,1.0,0.0,0.4484923756299051,1.0,-132.06144733341876,100.0,-1.0,1.1283375,1.1391575,1.14754375,1.132025,1.1532550000000001,1.0,18.84635687422167,1.0,1.1243599999999998,1.128635,1.14214,0.9340217713231256,0.8700707400286624,0.827453106438652,0.7205018853550196,-0.0037949530563480965,0.0002879999310984732,-0.0045468819122231885,-0.0025201603799174348,-0.00631511343626549,-0.018209871155101944,-0.35369,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.07054746469510442,0.05520350365422266,0.0646470116516219,0.057887861012123565,0.06509293910294223,0.051903828745062386,0.05441657193955751,0.06006392729357213,0.06039400405133066,0.0556950689997186,0.01047850154446788,0.003646803919645558,0.0
2015-08-28 07:00:00,1.1288550000000002,1.1264212997463485,1.1292507209576457,-1.0,1.1314930000000016,1.14550557057069,1.1174804294293132,0.007006285285344194,1.0,28.374975789270607,16.481162797110237,1.0,-16.468284856699295,46.199045170766325,-1.0,1.1251925,1.1369974999999999,1.14766875,1.132025,1.142315,1.0,50.03863908515247,0.0,1.12542,1.123575,1.13336,0.9150234823797695,0.8077434367786922,0.8019518181142083,0.5712474170838975,0.0016407332287496634,-0.00083626550074202,0.0017794816823535342,0.00304754536030949,0.004688278589059119,-0.003982827410480901,-0.35369,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06735046989537274,0.057758699475269015,0.0633668124055029,0.05791393962983926,0.05684833277142587,0.06127107855411812,0.05618047691925565,0.06097535062951853,0.05753623830255805,0.0582241438336899,0.010328276308010198,-0.0007175412254011304,0.0
2015-08-28 13:00:00,1.12162,1.1250686733304909,1.1276490962665475,-1.0,1.1288245000000017,1.1397138507151958,1.1179351492848075,0.005444675357597061,1.0,0.46499612503304294,15.598452820592476,1.0,-47.35367119121466,99.21397379912537,-1.0,1.1252375000000001,1.1369974999999999,1.147755,1.132025,1.15234,1.0,32.71578455692541,0.0,1.12444,1.12798,1.12831,0.8737322212453393,0.650392052540199,0.6432422672032738,0.3386350606715215,-0.0031432884761073143,-0.0007754222562513374,-0.00413039162534122,-0.0025110651378682314,-0.005654353613975631,-0.0059468692058126564,-0.359,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06723303467252612,0.056630159023036586,0.06299469922936768,0.057302109531745526,0.055788083111705467,0.054017509086624615,0.057214456076512876,0.0612385940368107,0.05701090611974935,0.05823372912779334,0.010034114789449922,0.0011947005224584029,0.0
2015-08-31 01:00:00,1.124055,1.1221721388272254,1.1246722766445263,-1.0,1.1255790000000014,1.1348041469364176,1.1163538530635853,0.0046125734682081095,1.0,34.320402724311414,14.5000493534695,1.0,-11.125955452383668,45.3043888626718,-1.0,1.1235575,1.1301999999999999,1.14852,1.1327574999999999,1.147345,1.0,49.17754299756627,0.0,1.11981,1.11826,1.1236,0.8266122461197404,0.5231118263235095,0.01410333774499886,-0.09753457630859788,0.0013851222238932537,-0.00015648087947361944,0.0018439917390553756,0.0037836545998077586,0.005168776823700916,0.0004048664107395327,-0.359,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.06687104027890056,0.05651004293189488,0.06308860427267804,0.056742082063384325,0.0551448493322903,0.06015079187702166,0.05698435869084584,0.05657759557462155,0.056478568559127584,0.05781228778596459,0.009701901337954327,-0.010809079626886708,-1.0
2015-09-01 01:00:00,1.1270250000000002,1.122648499722983,1.1230716065411352,-1.0,1.1229455000000017,1.1290255122531507,1.1168654877468527,0.0030400061265745066,1.0,82.72770174610689,43.19647632531031,1.0,53.562841476209364,0.0,1.0,1.1235675,1.12562,1.142965,1.13767,1.135145,1.0,64.15450375236256,0.0,1.1210499999999999,1.120435,1.12162,0.6319520797724631,0.1961389986692062,0.03244482206731478,-0.09389304043804556,0.0005487433691790666,-0.0001651008122693226,-0.0025110651378682652,0.0053156714694195814,0.005864414838598725,0.004807348789512362,-0.359,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06267882007089498,0.05842977784046782,0.065153309637494,0.05760006141093005,0.05563127701339343,0.06324770422564185,0.05899955427097797,0.0566949315133532,0.05708508922707811,0.05853890144076279,0.009082099751407023,-0.013415851467359019,-1.0
2015-09-01 19:00:00,1.13157,1.127998795573158,1.1263960549557175,1.0,1.1239200000000018,1.1315923405814967,1.116247659418507,0.003836170290747423,1.0,100.0,95.87475149105394,-1.0,124.31179103428349,0.0,1.0,1.128595,1.124915,1.1326675,1.1416775,1.124515,-1.0,73.38866077998388,-1.0,1.129265,1.127075,1.12262,0.8423816186870448,0.5864992535269173,0.5563676160399987,0.5415898042782124,0.0019411974150216893,0.001291786240331036,0.001439634768671566,0.0020390703422810456,0.003980267757302689,0.007940809807124277,-0.364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.058752682307352644,0.06107480268197074,0.06571295605326871,0.059862245891639465,0.05865363413748209,0.06352679104811682,0.0625344447043169,0.058719793858582336,0.05848124990677511,0.0583088656760683,0.00869075612559962,-0.00904937387877025,-1.0
2015-09-02 11:00:00,1.123975,1.1266507200432394,1.1264370051770245,1.0,1.1254405000000018,1.1320009778026066,1.1188800221973971,0.003280238901302333,1.0,33.72600349040138,53.63583478766725,-1.0,-29.986802123980784,100.0,-1.0,1.1277724999999998,1.124915,1.131095,1.1416775,1.12444,-1.0,39.43504172938275,0.0,1.12675,1.128045,1.12832,0.7673476541557139,0.5140767873173236,0.3352679541013291,0.14813864946989141,-0.0011486633085386888,0.00013298226036236038,0.0011483831895506835,-0.0024658733573606454,-0.003614536665899317,-0.0038582915560537337,-0.36321000000000003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05905370621789685,0.05884808394203733,0.06443918590370257,0.059118276563070726,0.058304154236304584,0.0562396213738483,0.059476196043345864,0.05836224649280397,0.05913664985695921,0.05996914547761362,0.008306450772861728,-0.01073867301318987,-1.0
