,price,fast,slow,ema_side,average,upper_band,lower_band,standard_deviation,bb_side,%K,%D,so_side,CCI,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,wr_side,tenka_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ic_side,RSI,rsi_side
2014-06-23 07:00:00,0.943275,0.943275,0.943275,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,
2014-06-23 19:00:00,0.9422400000000001,0.9426835714285715,0.9427230000000001,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,
2014-06-24 07:00:00,0.9400999999999999,0.9415663513513514,0.9417296745562129,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,
2014-06-24 17:00:00,0.93777,0.9401779714285713,0.9405335958702064,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,
2014-06-25 05:00:00,0.93613,0.9388511075544174,0.9394035207693752,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,
2014-06-25 13:00:00,0.938985,0.9388918280368279,0.9393086102979341,,,,,,,,,,,,,,,,0.0,,,,,,0.0,35.67235378282312,0.0
2014-06-26 01:00:00,0.9399700000000001,0.9392028932168768,0.9394447426133138,,,,,,,,,,,,,,,,0.0,,,,,,0.0,43.67140874853426,0.0
2014-06-26 11:00:00,0.94102,0.9397077084357779,0.9397447271470427,,,,,,,,,,,,,,,,0.0,,,,,,0.0,51.14383100023128,0.0
2014-06-26 23:00:00,0.94239,0.9404327184784358,0.9402175416107609,1.0,,,,,,,,,,0.9397025,,,,,0.0,0.9397025,,,,,0.0,59.27686977878784,0.0
2014-06-27 09:00:00,0.941655,0.9407565234551457,0.9404613689190207,1.0,,,,,,,,,,0.93926,,,,,0.0,0.93926,,,,,0.0,53.73905833417325,0.0
2014-06-29 23:00:00,0.942285,0.9411554931298428,0.9407574864278625,1.0,,,,,,,,,,0.93926,,,,,0.0,0.93926,,,,,0.0,57.651864331418814,0.0
2014-06-30 09:00:00,0.9394899999999999,0.9407254992085634,0.9405590902051766,1.0,,,,,,,,,,0.93926,,,,,0.0,0.93926,,,,,0.0,40.23228353520759,0.0
2014-06-30 19:00:00,0.943195,0.9413578984829489,0.9409590717017916,1.0,,,,,,,,,,0.9396625000000001,,,,,0.0,0.9396625000000001,,,,,0.0,59.12327475736716,0.0
2014-07-01 03:00:00,0.94491,0.9422620336964429,0.9415429826960225,1.0,,,,,,,,,,0.9419474999999999,,,,,0.0,0.9419474999999999,,,,,0.0,65.027216940422,0.0
2014-07-01 13:00:00,0.94821,0.9437691657730753,0.94250635078997,1.0,,,,,,,,,,0.94385,,,,,0.0,0.94385,,,,,0.0,73.5189883454737,-1.0
